Sensor No,Temp,Time
1,27.62312126159668,10:52:09
2,27.937223434448242,10:52:09
3,28.381534576416016,10:52:09
4,28.170427322387695,10:52:09
5,28.187185287475586,10:52:09
6,27.723896026611328,10:52:09
7,26.316492080688477,10:52:09
8,25.509033203125,10:52:09
9,25.014572143554688,10:52:09
10,25.722801208496094,10:52:09
11,26.23081398010254,10:52:09
12,26.016868591308594,10:52:09
13,25.82145881652832,10:52:09
14,24.862831115722656,10:52:09
15,25.412918090820312,10:52:09
16,26.204612731933594,10:52:09
17,26.125259399414062,10:52:09
18,25.9768009185791,10:52:09
19,24.66508674621582,10:52:09
20,24.87986183166504,10:52:09
21,24.790382385253906,10:52:09
22,25.020641326904297,10:52:09
23,24.840402603149414,10:52:09
24,24.846599578857422,10:52:09
25,25.1129207611084,10:52:09
26,24.97582244873047,10:52:09
27,24.760164260864258,10:52:09
28,25.205646514892578,10:52:09
29,25.420047760009766,10:52:09
30,24.989755630493164,10:52:09
31,25.597518920898438,10:52:09
32,25.29189109802246,10:52:09
33,25.251184463500977,10:52:09
34,25.268835067749023,10:52:09
35,25.06587028503418,10:52:09
36,24.674036026000977,10:52:09
37,24.879150390625,10:52:09
38,24.878284454345703,10:52:09
39,25.3775634765625,10:52:09
40,24.4000301361084,10:52:09
41,24.449270248413086,10:52:09
42,23.96336555480957,10:52:09
43,23.332496643066406,10:52:09
44,23.024816513061523,10:52:09
45,23.698423385620117,10:52:09
46,23.580974578857422,10:52:09
47,23.780954360961914,10:52:09
48,22.949485778808594,10:52:09
49,23.504638671875,10:52:09
50,23.28423500061035,10:52:09
1,27.62312126159668,10:52:14
2,27.937223434448242,10:52:14
3,28.381534576416016,10:52:14
4,28.170427322387695,10:52:14
5,28.187185287475586,10:52:14
6,27.723896026611328,10:52:14
7,26.316492080688477,10:52:14
8,25.509033203125,10:52:14
9,25.014572143554688,10:52:14
10,25.722801208496094,10:52:14
11,26.23081398010254,10:52:14
12,26.016868591308594,10:52:14
13,25.82145881652832,10:52:14
14,24.862831115722656,10:52:14
15,25.412918090820312,10:52:14
16,26.204612731933594,10:52:14
17,26.125259399414062,10:52:14
18,25.9768009185791,10:52:14
19,24.66508674621582,10:52:14
20,24.87986183166504,10:52:14
21,24.790382385253906,10:52:14
22,25.020641326904297,10:52:14
23,24.840402603149414,10:52:14
24,24.846599578857422,10:52:14
25,25.1129207611084,10:52:14
26,24.97582244873047,10:52:14
27,24.760164260864258,10:52:14
28,25.205646514892578,10:52:14
29,25.420047760009766,10:52:14
30,24.989755630493164,10:52:14
31,25.597518920898438,10:52:14
32,25.29189109802246,10:52:14
33,25.251184463500977,10:52:14
34,25.268835067749023,10:52:14
35,25.06587028503418,10:52:14
36,24.674036026000977,10:52:14
37,24.879150390625,10:52:14
38,24.878284454345703,10:52:14
39,25.3775634765625,10:52:14
40,24.4000301361084,10:52:14
41,24.449270248413086,10:52:14
42,23.96336555480957,10:52:14
43,23.332496643066406,10:52:14
44,23.024816513061523,10:52:14
45,23.698423385620117,10:52:14
46,23.580974578857422,10:52:14
47,23.780954360961914,10:52:14
48,22.949485778808594,10:52:14
49,23.504638671875,10:52:14
50,23.28423500061035,10:52:14
1,27.62312126159668,10:52:20
2,27.937223434448242,10:52:20
3,28.381534576416016,10:52:20
4,28.170427322387695,10:52:20
5,28.187185287475586,10:52:20
6,27.723896026611328,10:52:20
7,26.316492080688477,10:52:20
8,25.509033203125,10:52:20
9,25.014572143554688,10:52:20
10,25.722801208496094,10:52:20
11,26.23081398010254,10:52:20
12,26.016868591308594,10:52:20
13,25.82145881652832,10:52:20
14,24.862831115722656,10:52:20
15,25.412918090820312,10:52:20
16,26.204612731933594,10:52:20
17,26.125259399414062,10:52:20
18,25.9768009185791,10:52:20
19,24.66508674621582,10:52:20
20,24.87986183166504,10:52:20
21,24.790382385253906,10:52:20
22,25.020641326904297,10:52:20
23,24.840402603149414,10:52:20
24,24.846599578857422,10:52:20
25,25.1129207611084,10:52:20
26,24.97582244873047,10:52:20
27,24.760164260864258,10:52:20
28,25.205646514892578,10:52:20
29,25.420047760009766,10:52:20
30,24.989755630493164,10:52:20
31,25.597518920898438,10:52:20
32,25.29189109802246,10:52:20
33,25.251184463500977,10:52:20
34,25.268835067749023,10:52:20
35,25.06587028503418,10:52:20
36,24.674036026000977,10:52:20
37,24.879150390625,10:52:20
38,24.878284454345703,10:52:20
39,25.3775634765625,10:52:20
40,24.4000301361084,10:52:20
41,24.449270248413086,10:52:20
42,23.96336555480957,10:52:20
43,23.332496643066406,10:52:20
44,23.024816513061523,10:52:20
45,23.698423385620117,10:52:20
46,23.580974578857422,10:52:20
47,23.780954360961914,10:52:20
48,22.949485778808594,10:52:20
49,23.504638671875,10:52:20
50,23.28423500061035,10:52:20
1,27.812213897705078,10:53:29
2,27.937223434448242,10:53:29
3,28.381534576416016,10:53:29
4,28.170427322387695,10:53:29
5,28.187185287475586,10:53:29
6,27.723896026611328,10:53:29
7,26.316492080688477,10:53:29
8,25.509033203125,10:53:29
9,25.014572143554688,10:53:29
10,25.722801208496094,10:53:29
11,26.23081398010254,10:53:29
12,26.016868591308594,10:53:29
13,25.82145881652832,10:53:29
14,24.862831115722656,10:53:29
15,25.412918090820312,10:53:29
16,26.204612731933594,10:53:29
17,26.125259399414062,10:53:29
18,25.9768009185791,10:53:29
19,24.66508674621582,10:53:29
20,24.87986183166504,10:53:29
21,24.790382385253906,10:53:29
22,25.020641326904297,10:53:29
23,24.840402603149414,10:53:29
24,24.846599578857422,10:53:29
25,25.1129207611084,10:53:29
26,24.97582244873047,10:53:29
27,24.760164260864258,10:53:29
28,25.205646514892578,10:53:29
29,25.420047760009766,10:53:29
30,24.989755630493164,10:53:29
31,25.597518920898438,10:53:29
32,25.29189109802246,10:53:29
33,25.251184463500977,10:53:29
34,25.268835067749023,10:53:29
35,25.06587028503418,10:53:29
36,24.674036026000977,10:53:29
37,24.879150390625,10:53:29
38,24.878284454345703,10:53:29
39,25.3775634765625,10:53:29
40,24.4000301361084,10:53:29
41,24.449270248413086,10:53:29
42,23.96336555480957,10:53:29
43,23.332496643066406,10:53:29
44,23.024816513061523,10:53:29
45,23.698423385620117,10:53:29
46,23.580974578857422,10:53:29
47,23.780954360961914,10:53:29
48,22.949485778808594,10:53:29
49,23.504638671875,10:53:29
50,23.28423500061035,10:53:29
1,27.812213897705078,10:53:40
2,27.937223434448242,10:53:40
3,28.381534576416016,10:53:40
4,28.170427322387695,10:53:40
5,28.187185287475586,10:53:40
6,27.723896026611328,10:53:40
7,26.316492080688477,10:53:40
8,25.509033203125,10:53:40
9,25.014572143554688,10:53:40
10,25.722801208496094,10:53:40
11,26.23081398010254,10:53:40
12,26.016868591308594,10:53:40
13,25.82145881652832,10:53:40
14,24.862831115722656,10:53:40
15,25.412918090820312,10:53:40
16,26.204612731933594,10:53:40
17,26.125259399414062,10:53:40
18,25.9768009185791,10:53:40
19,24.66508674621582,10:53:40
20,24.87986183166504,10:53:40
21,24.790382385253906,10:53:40
22,25.020641326904297,10:53:40
23,24.840402603149414,10:53:40
24,24.846599578857422,10:53:40
25,25.1129207611084,10:53:40
26,24.97582244873047,10:53:40
27,24.760164260864258,10:53:40
28,25.205646514892578,10:53:40
29,25.420047760009766,10:53:40
30,24.989755630493164,10:53:40
31,25.597518920898438,10:53:40
32,25.29189109802246,10:53:40
33,25.251184463500977,10:53:40
34,25.268835067749023,10:53:40
35,25.06587028503418,10:53:40
36,24.674036026000977,10:53:40
37,24.879150390625,10:53:40
38,24.878284454345703,10:53:40
39,25.3775634765625,10:53:40
40,24.4000301361084,10:53:40
41,24.449270248413086,10:53:40
42,23.96336555480957,10:53:40
43,23.332496643066406,10:53:40
44,23.024816513061523,10:53:40
45,23.698423385620117,10:53:40
46,23.580974578857422,10:53:40
47,23.780954360961914,10:53:40
48,22.949485778808594,10:53:40
49,23.504638671875,10:53:40
50,23.28423500061035,10:53:40
1,27.812213897705078,10:54:12
2,27.937223434448242,10:54:12
3,28.381534576416016,10:54:12
4,28.170427322387695,10:54:12
5,28.187185287475586,10:54:12
6,27.723896026611328,10:54:12
7,26.316492080688477,10:54:12
8,25.509033203125,10:54:12
9,25.014572143554688,10:54:12
10,25.722801208496094,10:54:12
11,26.23081398010254,10:54:12
12,26.016868591308594,10:54:12
13,25.82145881652832,10:54:12
14,24.862831115722656,10:54:12
15,25.412918090820312,10:54:12
16,26.204612731933594,10:54:12
17,26.125259399414062,10:54:12
18,25.9768009185791,10:54:12
19,24.66508674621582,10:54:12
20,24.87986183166504,10:54:12
21,24.790382385253906,10:54:12
22,25.020641326904297,10:54:12
23,24.840402603149414,10:54:12
24,24.846599578857422,10:54:12
25,25.1129207611084,10:54:12
26,24.97582244873047,10:54:12
27,24.760164260864258,10:54:12
28,25.205646514892578,10:54:12
29,25.420047760009766,10:54:12
30,24.989755630493164,10:54:12
31,25.597518920898438,10:54:12
32,25.29189109802246,10:54:12
33,25.251184463500977,10:54:12
34,25.268835067749023,10:54:12
35,25.06587028503418,10:54:12
36,24.674036026000977,10:54:12
37,24.879150390625,10:54:12
38,24.878284454345703,10:54:12
39,25.3775634765625,10:54:12
40,24.4000301361084,10:54:12
41,24.449270248413086,10:54:12
42,23.96336555480957,10:54:12
43,23.332496643066406,10:54:12
44,23.024816513061523,10:54:12
45,23.698423385620117,10:54:12
46,23.580974578857422,10:54:12
47,23.780954360961914,10:54:12
48,22.984050750732422,10:54:12
49,23.504638671875,10:54:12
50,23.28423500061035,10:54:12
1,27.812213897705078,10:54:41
2,27.937223434448242,10:54:41
3,28.381534576416016,10:54:41
4,28.170427322387695,10:54:41
5,28.187185287475586,10:54:41
6,27.723896026611328,10:54:41
7,26.316492080688477,10:54:41
8,25.509033203125,10:54:41
