"_id",Sensor No,Temp,Time
60b49853059f7d08483b1aa9,1,27.1929,05/31/2021 11:03:31
60b49853059f7d08483b1aaa,2,27.7083,05/31/2021 11:03:31
60b49853059f7d08483b1aab,3,27.9816,05/31/2021 11:03:31
60b49853059f7d08483b1aac,4,27.8265,05/31/2021 11:03:31
60b49853059f7d08483b1aad,5,28.0939,05/31/2021 11:03:31
60b49853059f7d08483b1aae,6,27.5982,05/31/2021 11:03:31
60b49853059f7d08483b1aaf,7,25.8437,05/31/2021 11:03:31
60b49853059f7d08483b1ab0,8,25.7251,05/31/2021 11:03:31
60b49853059f7d08483b1ab1,9,25.176,05/31/2021 11:03:31
60b49853059f7d08483b1ab2,10,26.6562,05/31/2021 11:03:31
60b49853059f7d08483b1ab3,11,27.0628,05/31/2021 11:03:31
60b49853059f7d08483b1ab4,12,26.966,05/31/2021 11:03:31
60b49853059f7d08483b1ab5,13,26.7562,05/31/2021 11:03:31
60b49853059f7d08483b1ab6,14,25.7112,05/31/2021 11:03:31
60b49853059f7d08483b1ab7,15,26.3967,05/31/2021 11:03:31
60b49853059f7d08483b1ab8,16,27.0273,05/31/2021 11:03:31
60b49853059f7d08483b1ab9,17,27.0722,05/31/2021 11:03:31
60b49853059f7d08483b1aba,18,26.7123,05/31/2021 11:03:31
60b49853059f7d08483b1abb,19,25.3289,05/31/2021 11:03:31
60b49853059f7d08483b1abc,20,25.6285,05/31/2021 11:03:31
60b49853059f7d08483b1abd,21,25.381,05/31/2021 11:03:31
60b49853059f7d08483b1abe,22,25.6345,05/31/2021 11:03:31
60b49853059f7d08483b1abf,23,25.6557,05/31/2021 11:03:31
60b49853059f7d08483b1ac0,24,25.565,05/31/2021 11:03:31
60b49853059f7d08483b1ac1,25,25.7577,05/31/2021 11:03:31
60b49853059f7d08483b1ac2,26,25.665,05/31/2021 11:03:31
60b49853059f7d08483b1ac3,27,25.5089,05/31/2021 11:03:31
60b49853059f7d08483b1ac4,28,25.8562,05/31/2021 11:03:31
60b49853059f7d08483b1ac5,29,25.9721,05/31/2021 11:03:31
60b49853059f7d08483b1ac6,30,25.5028,05/31/2021 11:03:31
60b49853059f7d08483b1ac7,31,26.0825,05/31/2021 11:03:31
60b49853059f7d08483b1ac8,32,25.8838,05/31/2021 11:03:31
60b49853059f7d08483b1ac9,33,25.9067,05/31/2021 11:03:31
60b49853059f7d08483b1aca,34,25.864,05/31/2021 11:03:31
60b49853059f7d08483b1acb,35,25.707,05/31/2021 11:03:31
60b49853059f7d08483b1acc,36,25.4674,05/31/2021 11:03:31
60b49853059f7d08483b1acd,37,25.5607,05/31/2021 11:03:31
60b49853059f7d08483b1ace,38,25.7428,05/31/2021 11:03:31
60b49853059f7d08483b1acf,39,26.0767,05/31/2021 11:03:31
60b49853059f7d08483b1ad0,40,25.0527,05/31/2021 11:03:31
60b49853059f7d08483b1ad1,41,25.0388,05/31/2021 11:03:31
60b49853059f7d08483b1ad2,42,24.2936,05/31/2021 11:03:31
60b49853059f7d08483b1ad3,43,23.6826,05/31/2021 11:03:31
60b49853059f7d08483b1ad4,44,23.432,05/31/2021 11:03:31
60b49853059f7d08483b1ad5,45,24.042,05/31/2021 11:03:31
60b49853059f7d08483b1ad6,46,23.9053,05/31/2021 11:03:31
60b49853059f7d08483b1ad7,47,24.0941,05/31/2021 11:03:31
60b49853059f7d08483b1ad8,48,23.4182,05/31/2021 11:03:31
60b49853059f7d08483b1ad9,49,23.8013,05/31/2021 11:03:31
60b49853059f7d08483b1ada,50,23.6813,05/31/2021 11:03:31
60b498600330a4520c36416d,1,27.1929,05/31/2021 11:03:44
60b498600330a4520c36416e,2,27.7083,05/31/2021 11:03:44
60b498600330a4520c36416f,3,27.9816,05/31/2021 11:03:44
60b498600330a4520c364170,4,27.8265,05/31/2021 11:03:44
60b498600330a4520c364171,5,28.0939,05/31/2021 11:03:44
60b498600330a4520c364172,6,27.5982,05/31/2021 11:03:44
60b498600330a4520c364173,7,25.8437,05/31/2021 11:03:44
60b498600330a4520c364174,8,25.7251,05/31/2021 11:03:44
60b498600330a4520c364175,9,25.176,05/31/2021 11:03:44
60b498600330a4520c364176,10,26.6562,05/31/2021 11:03:44
60b498600330a4520c364177,11,27.0628,05/31/2021 11:03:44
60b498600330a4520c364178,12,26.966,05/31/2021 11:03:44
60b498600330a4520c364179,13,26.7562,05/31/2021 11:03:44
60b498600330a4520c36417a,14,25.7112,05/31/2021 11:03:44
60b498600330a4520c36417b,15,26.3967,05/31/2021 11:03:44
60b498600330a4520c36417c,16,27.0273,05/31/2021 11:03:44
60b498600330a4520c36417d,17,27.0722,05/31/2021 11:03:44
60b498600330a4520c36417e,18,26.7123,05/31/2021 11:03:44
60b498600330a4520c36417f,19,25.3289,05/31/2021 11:03:44
60b498600330a4520c364180,20,25.6285,05/31/2021 11:03:44
60b498600330a4520c364181,21,25.381,05/31/2021 11:03:44
60b498600330a4520c364182,22,25.6345,05/31/2021 11:03:44
60b498600330a4520c364183,23,25.6557,05/31/2021 11:03:44
60b498600330a4520c364184,24,25.565,05/31/2021 11:03:44
60b498600330a4520c364185,25,25.7577,05/31/2021 11:03:44
60b498600330a4520c364186,26,25.665,05/31/2021 11:03:44
60b498600330a4520c364187,27,25.5089,05/31/2021 11:03:44
60b498600330a4520c364188,28,25.8562,05/31/2021 11:03:44
60b498600330a4520c364189,29,25.9721,05/31/2021 11:03:44
60b498600330a4520c36418a,30,25.5028,05/31/2021 11:03:44
60b498600330a4520c36418b,31,26.0825,05/31/2021 11:03:44
60b498600330a4520c36418c,32,25.8838,05/31/2021 11:03:44
60b498600330a4520c36418d,33,25.9067,05/31/2021 11:03:44
60b498600330a4520c36418e,34,25.864,05/31/2021 11:03:44
60b498600330a4520c36418f,35,25.707,05/31/2021 11:03:44
60b498600330a4520c364190,36,25.4674,05/31/2021 11:03:44
60b498600330a4520c364191,37,25.5607,05/31/2021 11:03:44
60b498600330a4520c364192,38,25.7428,05/31/2021 11:03:44
60b498600330a4520c364193,39,26.0767,05/31/2021 11:03:44
